reading leaf 4, parent 1
reading leaf 182, parent 1
reading leaf 54, parent 1
reading leaf 53, parent 1
reading leaf 52, parent 1
reading leaf 51, parent 1
reading leaf 50, parent 1
reading leaf 49, parent 1
reading leaf 48, parent 1
reading leaf 47, parent 1
reading leaf 46, parent 1
reading leaf 45, parent 1
reading leaf 44, parent 1
reading leaf 43, parent 1
reading leaf 42, parent 1
reading leaf 41, parent 1
reading leaf 40, parent 1
reading leaf 39, parent 1
reading leaf 38, parent 1
reading leaf 37, parent 1
reading leaf 36, parent 1
reading leaf 35, parent 1
reading leaf 34, parent 1
reading leaf 33, parent 1
reading leaf 32, parent 1
reading leaf 31, parent 1
reading leaf 30, parent 1
reading leaf 29, parent 1
reading leaf 28, parent 1
reading leaf 27, parent 1
reading leaf 26, parent 1
reading leaf 25, parent 1
reading leaf 24, parent 1
reading leaf 23, parent 1
reading leaf 22, parent 1
reading leaf 21, parent 1
reading leaf 20, parent 1
reading leaf 19, parent 1
reading leaf 18, parent 1
reading leaf 17, parent 1
reading leaf 16, parent 1
reading leaf 15, parent 1
reading leaf 14, parent 1
reading leaf 13, parent 1
reading leaf 12, parent 1
reading leaf 11, parent 1
reading leaf 10, parent 1
reading leaf 9, parent 1
reading leaf 8, parent 1
reading leaf 5, parent 1
reading leaf 55, parent 1
reading interior child 56, parent 1
reading leaf 164, parent 56
reading leaf 82, parent 56
reading leaf 80, parent 56
reading leaf 79, parent 56
reading leaf 76, parent 56
reading leaf 74, parent 56
reading leaf 69, parent 56
reading leaf 64, parent 56
reading leaf 63, parent 56
reading leaf 84, parent 56
reading leaf 85, parent 56
reading leaf 86, parent 56
reading leaf 91, parent 56
reading leaf 95, parent 56
reading leaf 98, parent 56
reading leaf 101, parent 56
reading leaf 102, parent 56
reading leaf 103, parent 56
reading leaf 106, parent 56
reading leaf 110, parent 56
reading leaf 112, parent 56
reading leaf 113, parent 56
reading leaf 119, parent 56
reading leaf 125, parent 56
reading leaf 127, parent 56
reading leaf 130, parent 56
reading leaf 132, parent 56
reading leaf 136, parent 56
reading leaf 138, parent 56
reading leaf 139, parent 56
reading leaf 144, parent 56
reading leaf 147, parent 56
reading leaf 150, parent 56
reading leaf 153, parent 56
reading leaf 155, parent 56
reading leaf 159, parent 56
reading leaf 161, parent 56
reading leaf 165, parent 56
reading leaf 166, parent 56
reading leaf 167, parent 56
reading leaf 168, parent 56
reading leaf 146, parent 56
reading leaf 117, parent 56
reading leaf 107, parent 56
reading leaf 149, parent 56
reading leaf 134, parent 56
reading leaf 97, parent 56
reading leaf 96, parent 56
reading leaf 143, parent 56
reading leaf 81, parent 56
reading leaf 115, parent 56
reading leaf 75, parent 56
reading leaf 157, parent 56
reading leaf 90, parent 56
reading leaf 94, parent 56
reading leaf 135, parent 56
reading leaf 92, parent 56
reading leaf 118, parent 56
reading leaf 142, parent 56
reading leaf 99, parent 56
reading leaf 83, parent 56
reading leaf 87, parent 56
reading leaf 93, parent 56
reading leaf 111, parent 56
reading leaf 137, parent 56
reading leaf 152, parent 56
reading leaf 100, parent 56
reading leaf 108, parent 56
reading leaf 122, parent 56
reading leaf 114, parent 56
reading leaf 151, parent 56
reading leaf 131, parent 56
reading leaf 109, parent 56
reading leaf 116, parent 56
reading leaf 162, parent 56
reading leaf 126, parent 56
reading leaf 156, parent 56
reading leaf 141, parent 56
reading leaf 123, parent 56
reading leaf 124, parent 56
reading leaf 160, parent 56
reading leaf 133, parent 56
reading leaf 140, parent 56
reading leaf 163, parent 56
reading leaf 145, parent 56
reading leaf 148, parent 56
reading leaf 154, parent 56
reading leaf 158, parent 56
reading leaf 295, parent 56
reading leaf 296, parent 56
reading leaf 297, parent 56
reading leaf 298, parent 56
reading leaf 299, parent 56
reading leaf 302, parent 56
reading leaf 303, parent 56
reading leaf 304, parent 56
reading leaf 305, parent 56
reading leaf 306, parent 56
reading leaf 294, parent 1
reading leaf 293, parent 1
reading leaf 292, parent 1
reading leaf 291, parent 1
reading leaf 290, parent 1
reading leaf 289, parent 1
reading leaf 286, parent 1
reading leaf 285, parent 1
reading leaf 284, parent 1
reading leaf 283, parent 1
reading leaf 282, parent 1
reading leaf 279, parent 1
reading leaf 278, parent 1
reading leaf 277, parent 1
reading leaf 276, parent 1
reading leaf 275, parent 1
reading leaf 274, parent 1
reading leaf 271, parent 1
reading leaf 270, parent 1
reading leaf 269, parent 1
reading leaf 268, parent 1
reading leaf 267, parent 1
reading leaf 266, parent 1
reading leaf 263, parent 1
reading leaf 262, parent 1
reading leaf 261, parent 1
reading leaf 260, parent 1
reading leaf 259, parent 1
reading leaf 256, parent 1
reading leaf 255, parent 1
reading leaf 254, parent 1
reading leaf 253, parent 1
reading leaf 252, parent 1
reading leaf 251, parent 1
reading leaf 248, parent 1
reading leaf 247, parent 1
reading leaf 246, parent 1
reading leaf 245, parent 1
reading leaf 244, parent 1
reading leaf 243, parent 1
reading leaf 240, parent 1
reading leaf 239, parent 1
reading leaf 238, parent 1
reading leaf 237, parent 1
reading leaf 236, parent 1
reading leaf 235, parent 1
